years,sex,city_state,population,female_comparison,male_comparison,male_pop_2000,female_pop_2000,total_pop_2000,total_pop_2020,city_state_year,pop_increase,price_increase
2020,Both,Flint MI,101030,0.525,0.475,,,245020,101030,Flint MI 2020,0.412,-0.439670366
2000,Both,Fontana CA,128929,0.504,0.496,63982,64947,128929,208393,Fontana CA 2000,1.616,1.758861149
2000,Male,Fontana CA,63982,0.504,0.496,63982,64947,128929,208393,Fontana CA 2000,1.616,1.758861149
2000,Female,Fontana CA,64947,0.504,0.496,63982,64947,128929,208393,Fontana CA 2000,1.616,1.758861149
2020,Both,Fontana CA,208393,0.504,0.496,,,128929,208393,Fontana CA 2020,1.616,1.758861149
2000,Both,Fort Collins CO,162643,0.500,0.500,81339,81304,162643,169810,Fort Collins CO 2000,1.044,1.185197251
2000,Male,Fort Collins CO,81339,0.500,0.500,81339,81304,162643,169810,Fort Collins CO 2000,1.044,1.185197251
2000,Female,Fort Collins CO,81304,0.500,0.500,81339,81304,162643,169810,Fort Collins CO 2000,1.044,1.185197251
2020,Both,Fort Collins CO,169810,0.500,0.500,,,162643,169810,Fort Collins CO 2020,1.044,1.185197251
2000,Both,Fort Lauderdale FL,152397,0.476,0.524,79826,72571,152397,182760,Fort Lauderdale FL 2000,1.199,1.582964219
2000,Male,Fort Lauderdale FL,79826,0.476,0.524,79826,72571,152397,182760,Fort Lauderdale FL 2000,1.199,1.582964219
2000,Female,Fort Lauderdale FL,72571,0.476,0.524,79826,72571,152397,182760,Fort Lauderdale FL 2000,1.199,1.582964219
2020,Both,Fort Lauderdale FL,182760,0.476,0.524,,,152397,182760,Fort Lauderdale FL 2020,1.199,1.582964219
2000,Both,Fort Wayne IN,246743,0.514,0.486,119984,126759,246743,263886,Fort Wayne IN 2000,1.069,
2000,Male,Fort Wayne IN,119984,0.514,0.486,119984,126759,246743,263886,Fort Wayne IN 2000,1.069,
2000,Female,Fort Wayne IN,126759,0.514,0.486,119984,126759,246743,263886,Fort Wayne IN 2000,1.069,
2020,Both,Fort Wayne IN,263886,0.514,0.486,,,246743,263886,Fort Wayne IN 2020,1.069,
2000,Both,Fort Worth TX,534694,0.507,0.493,263720,270974,534694,918915,Fort Worth TX 2000,1.719,1.02716731
2000,Male,Fort Worth TX,263720,0.507,0.493,263720,270974,534694,918915,Fort Worth TX 2000,1.719,1.02716731
2000,Female,Fort Worth TX,270974,0.507,0.493,263720,270974,534694,918915,Fort Worth TX 2000,1.719,1.02716731
2020,Both,Fort Worth TX,918915,0.507,0.493,,,534694,918915,Fort Worth TX 2020,1.719,1.02716731
2000,Both,Fremont CA,203413,0.497,0.503,102273,101140,203413,230504,Fremont CA 2000,1.133,1.880512385
2000,Male,Fremont CA,102273,0.497,0.503,102273,101140,203413,230504,Fremont CA 2000,1.133,1.880512385
2000,Female,Fremont CA,101140,0.497,0.503,102273,101140,203413,230504,Fremont CA 2000,1.133,1.880512385
2020,Both,Fremont CA,230504,0.497,0.503,,,203413,230504,Fremont CA 2020,1.133,1.880512385
2000,Both,Fresno CA,491288,0.509,0.491,240998,250290,491288,542107,Fresno CA 2000,1.103,1.431190712
2000,Male,Fresno CA,240998,0.509,0.491,240998,250290,491288,542107,Fresno CA 2000,1.103,1.431190712
2000,Female,Fresno CA,250290,0.509,0.491,240998,250290,491288,542107,Fresno CA 2000,1.103,1.431190712
2020,Both,Fresno CA,542107,0.509,0.491,,,491288,542107,Fresno CA 2020,1.103,1.431190712
2000,Both,Fullerton CA,126003,0.506,0.494,62276,63727,126003,143617,Fullerton CA 2000,1.140,1.616274415
2000,Male,Fullerton CA,62276,0.506,0.494,62276,63727,126003,143617,Fullerton CA 2000,1.140,1.616274415
2000,Female,Fullerton CA,63727,0.506,0.494,62276,63727,126003,143617,Fullerton CA 2000,1.140,1.616274415
2020,Both,Fullerton CA,143617,0.506,0.494,,,126003,143617,Fullerton CA 2020,1.140,1.616274415
2000,Both,Garden Grove CA,165196,0.499,0.501,82688,82508,165196,171949,Garden Grove CA 2000,1.041,1.88044097
2000,Male,Garden Grove CA,82688,0.499,0.501,82688,82508,165196,171949,Garden Grove CA 2000,1.041,1.88044097
2000,Female,Garden Grove CA,82508,0.499,0.501,82688,82508,165196,171949,Garden Grove CA 2000,1.041,1.88044097
2020,Both,Garden Grove CA,171949,0.499,0.501,,,165196,171949,Garden Grove CA 2020,1.041,1.88044097
2000,Both,Garland TX,215768,0.504,0.496,106937,108831,215768,246018,Garland TX 2000,1.140,1.05370806
